SampleTime	MeasurementTime	CPM	TC
		16:04:15	702	2809
16:00:33	16:14:45	38002	152006
16:04:03	16:19:25	51228	204910
16:09:29	16:28:40	71991	287963
16:13:37	16:33:30	69125	276499
16:18:26	16:38:30	80135	320539
16:24:28	16:45:20	94687	378746
16:29:13	16:50:00	110957	443827
16:34:08	16:54:45	121588	486352
16:38:44	17:03:30	128542	514168
16:44:01	17:08:15	122601	490405
16:49:11	17:13:10	107858	431431
16:53:40	17:18:05	91822	367286
16:58:53	17:22:45	92110	368439
17:03:17	17:27:25	75544	302175
