SampleTime	MeasurementTime	CPM	TC
		11:39:20	0	0
11:07:34	11:45:38	150557	602227
11:12:02	11:55:45	139650	558601
11:16:55	11:50:45	118152	472606
11:22:24	12:00:37	102107	408429
11:27:20	12:05:10	89103	356412
11:32:30	12:10:10	81214	324854
11:37:16	12:14:47	69338	277351
11:42:18	12:19:17	64684	258734
11:47:29	12:30:12	59967	239868
11:52:34	12:25:25	57346	229383
11:57:30	12:35:02	50880	203520
12:02:37	12:39:45	46411	185643
12:07:47	12:45:04	42042	168168
