SampleTime	MeasurementTime	CPM	TC
		13:38:55	0	1
13:05:44	13:43:32	163842	655368
13:10:07	13:51:32	168255	673018
13:15:12	13:56:30	147411	589644
13:20:07	14:01:25	123662	494648
13:25:15	14:07:30	109223	436890
13:30:10	14:14:18	104696	418785
13:35:13	14:19:14	94111	376442
13:40:19	14:24:15	83862	335447
13:45:14	14:29:38	79708	318833
13:51:43	14:34:45	62699	250794
13:54:57	14:40:55	62104	248415
13:59:09	14:46:08	62653	250612
14:05:29	14:50:48	52367	209468
14:10:34	14:56:33	53803	215211
