SampleTime	MeasurementTime	CPM	TC
		10:25:00	11	42
11:15:00	11:31:00	9467	37866
11:20:27	11:35:40	22753	91010
11:25:22	11:46:40	37153	148613
11:30:03	11:53:15	34611	138444
11:35:35	11:58:15	46941	187764
