SampleTime	MeasurementTime	CPM	TC
		15:38:00	72	286
15:22:10	15:42:40	159047	636186
15:27:15	15:52:40	185365	741460
15:32:21	15:57:30	167687	670749
15:37:33	16:02:30	151490	605958
15:42:12	16:08:00	135846	543385
15:47:32	16:13:00	127103	508410
15:52:49	16:18:30	125421	501681
15:57:07	16:23:30	106580	426321
16:02:39	16:28:00	103285	413139
16:07:22	16:32:40	92077	368307
16:12:24	16:37:30	89955	359819
16:17:11	16:42:15	73668	294672
16:21:36	16:47:00	71767	287066
16:27:35	16:52:00	64926	259704
