SampleTime	MeasurementTime	CPM	TC
		12:41:40	0	0
11:48:17	12:46:40	109420	437679
11:52:52	13:06:06	92880	371520
11:56:58	13:12:15	89926	359704
12:04:32	13:17:14	82518	330073
			
12:11:23	13:22:10	83727	334909
12:16:19	13:27:15	83494	333975
12:21:10	13:32:47	82076	328303
12:26:13	13:37:37	80631	322522
12:31:30	13:42:18	76357	305428
12:36:25	13:50:04	73930	295720
12:41:15	13:55:06	66400	265598
12:46:42	14:00:15	57911	231643
