ParticipantID,EPI_startTim	e,PET_startTime,diff
sub-11,11:41:14,11:40:59,0	0:00:15
sub-12,10:29:09,10:28:56,0	:00:13
sub-13,15:19:21,15:19:10,0	:00:11
sub-01,12:06:00,12:05:44,0	:00:16
sub-02,15:17:16,15:16:59,0	:00:17
sub-03,11:09:26,11:09:10,0	:00:16
sub-06,10:49:33,10:49:21,0	:00:12
sub-07,10:39:33,10:39:17,0	:00:16
sub-08,14:03:41,14:03:24,0	:00:17
sub-09,15:52:21,15:52:03,0	:00:18
sub-04,12:59:26,12:59:07,0	:00:19
sub-05,11:09:02,11:08:47,0	:00:15
sub-10,11:09:02,11:08:47,0	:00:15
sub-14,11:20:45,11:20:29,0	:00:16
sub-15,13:27:10,13:26:55,0	:00:15
